start_id,relation_id,end_id
1204,0,1205
1204,0,1206
1204,1,3916
1204,1,3673
1204,1,714
1204,1,6023
1204,1,3603
1204,1,3974
1204,1,3820
1204,1,3590
1204,1,3865
1204,1,4485
1204,2,3439
1204,2,3440
1204,2,3441
1204,15,5846
1204,15,3613
1204,15,4155
1204,19,3592
1204,20,5804
1204,23,3813
1204,23,2941
1204,23,5897
1204,23,1217
1204,34,1722
1204,35,3585
1204,35,714
1204,35,3813
1204,35,4146
1204,35,4497
1204,35,4676
1204,35,1879
1204,35,4716
1204,35,6027
1204,35,4869
1204,35,4700
1204,35,2941
1204,35,4745
1204,35,3666
1204,35,5945
1204,35,4751
1204,35,5005
1204,35,4091
1204,35,4026
1204,35,776
1204,35,2581
1204,35,326
1204,35,327
1204,35,5600
1204,35,328
1204,38,1204
1204,39,1205
1204,39,3771
1204,39,2657
1204,39,4752
1204,39,5951
1204,39,4715
1204,39,6201
1204,39,4756
1204,39,4716
1204,39,5952
1204,39,4869
1204,39,5953
1204,39,5016
1204,39,5954
1204,39,3265
1204,39,5955
1204,39,2225
1204,39,2982
1204,39,5956
1204,39,5957
1204,39,1861
1204,39,1932
1204,39,2718
1204,39,5958
1204,39,1831
3812,1,1204
3874,1,1204
3585,1,1204
3880,1,1204
3939,1,1204
3673,1,1204
3680,1,1204
4042,1,1204
4099,1,1204
784,1,1204
4145,1,1204
3764,1,1204
4195,1,1204
3629,1,1204
4334,1,1204
3957,1,1204
4460,1,1204
4461,1,1204
4470,1,1204
4471,1,1204
4497,1,1204
4227,1,1204
5070,1,1204
4594,1,1204
4612,1,1204
4629,1,1204
4639,1,1204
4147,1,1204
4699,1,1204
4700,1,1204
4748,1,1204
4772,1,1204
3635,1,1204
5278,1,1204
4966,1,1204
4977,1,1204
5005,1,1204
5103,1,1204
1246,1,1204
5366,1,1204
5706,1,1204
527,1,1204
612,1,1204
5837,1,1204
4034,1,1204
4193,1,1204
3599,1,1204
5904,1,1204
695,1,1204
4926,1,1204
5937,1,1204
6001,1,1204
6008,1,1204
6022,1,1204
6024,1,1204
6025,1,1204
6026,1,1204
6030,1,1204
6031,1,1204
6033,1,1204
6035,1,1204
6077,1,1204
6137,1,1204
6140,1,1204
6141,1,1204
6170,1,1204
6251,1,1204
6269,1,1204
34,1,1204
122,1,1204
133,1,1204
137,1,1204
140,1,1204
3915,1,1204
217,1,1204
324,1,1204
325,1,1204
3270,1,1204
4096,1,1204
524,1,1204
525,1,1204
2905,7,1204
5727,7,1204
6282,7,1204
1114,7,1204
2583,7,1204
5136,7,1204
1734,7,1204
4114,7,1204
4115,7,1204
4116,7,1204
4117,7,1204
4118,7,1204
1838,14,1204
898,23,1204
4699,23,1204
5758,23,1204
4863,23,1204
6258,23,1204
526,23,1204
689,23,1204
3819,23,1204
4237,23,1204
5894,23,1204
52,23,1204
2056,35,1204
4361,35,1204
3585,35,1204
4707,35,1204
2298,35,1204
5180,35,1204
5729,35,1204
3680,35,1204
5794,35,1204
4673,35,1204
6285,35,1204
351,35,1204
4087,35,1204
318,35,1204
1086,35,1204
1423,35,1204
3465,35,1204
1425,35,1204
1489,35,1204
1505,35,1204
5814,35,1204
3702,35,1204
6302,35,1204
1716,35,1204
4204,35,1204
5049,35,1204
3778,35,1204
2243,35,1204
4157,35,1204
4173,35,1204
2799,35,1204
3566,35,1204
3568,35,1204
3088,35,1204
4300,35,1204
4432,35,1204
3703,35,1204
3755,35,1204
5707,35,1204
5149,35,1204
707,35,1204
1967,35,1204
4984,35,1204
5919,35,1204
5589,35,1204
5590,35,1204
6079,35,1204
6128,35,1204
80,35,1204
1917,35,1204
4336,35,1204
1251,35,1204
1918,35,1204
1292,35,1204
1922,35,1204
170,35,1204
547,35,1204
256,35,1204
2739,35,1204
2545,35,1204
2909,35,1204
3467,35,1204
4715,35,1204
3377,35,1204
779,35,1204
6027,35,1204
4719,35,1204
4653,35,1204
4847,35,1204
1634,35,1204
165,35,1204
5731,35,1204
291,35,1204
4818,35,1204
1988,35,1204
663,35,1204
668,35,1204
2057,35,1204
678,35,1204
1175,35,1204
1265,35,1204
2151,35,1204
5636,35,1204
2346,35,1204
1781,35,1204
5336,35,1204
2339,35,1204
5654,35,1204
1082,35,1204
2660,35,1204
2661,35,1204
212,35,1204
2868,35,1204
3296,35,1204
5861,35,1204
3337,35,1204
5939,35,1204
3933,35,1204
3941,35,1204
4786,35,1204
688,35,1204
1275,35,1204
1348,35,1204
3975,35,1204
2058,35,1204
2451,35,1204
6045,35,1204
3513,35,1204
3514,35,1204
1163,35,1204
6324,35,1204
3870,35,1204
2548,35,1204
504,35,1204
4091,35,1204
3431,35,1204
4946,35,1204
854,35,1204
1070,35,1204
5854,35,1204
792,35,1204
1529,35,1204
4355,35,1204
197,35,1204
1925,35,1204
2994,35,1204
3540,35,1204
5787,35,1204
3315,35,1204
4678,35,1204
4710,35,1204
5508,35,1204
4659,35,1204
6087,35,1204
3274,35,1204
3323,35,1204
3358,35,1204
3790,35,1204
3952,35,1204
1291,35,1204
3953,35,1204
4550,35,1204
4007,35,1204
4137,35,1204
2714,35,1204
4552,35,1204
5162,35,1204
284,35,1204
5686,35,1204
3014,35,1204
5602,35,1204
5603,35,1204
5604,35,1204
5605,35,1204
5606,35,1204
1838,35,1204
1841,35,1204
5607,35,1204
5612,35,1204
5613,35,1204
5617,35,1204
5932,35,1204
6016,35,1204
6075,35,1204
1311,35,1204
833,35,1204
321,35,1204
4410,35,1204
772,35,1204
6248,35,1204
1987,35,1204
851,35,1204
3578,35,1204
5979,35,1204
4427,35,1204
267,35,1204
6102,35,1204
5886,35,1204
5887,35,1204
5888,35,1204
6234,35,1204
6249,35,1204
5869,35,1204
2358,35,1204
189,35,1204
205,35,1204
2430,35,1204
812,35,1204
2778,35,1204
2794,35,1204
2768,35,1204
4467,35,1204
245,35,1204
5825,35,1204
1486,35,1204
5829,35,1204
1404,35,1204
4381,35,1204
345,35,1204
383,35,1204
384,35,1204
477,35,1204
1671,36,1204
1857,23,3691
1857,35,3011
1857,35,5074
1857,35,3708
1857,35,1407
1857,35,5161
1857,35,5960
1857,35,1652
1857,35,5656
1857,35,5676
1857,35,3466
1857,35,1408
1857,38,1857
1856,7,1857
5868,7,1857
3063,7,1857
3645,7,1857
2983,7,1857
5310,7,1857
5817,7,1857
1852,7,1857
5818,7,1857
5819,7,1857
5820,7,1857
5821,7,1857
5460,12,1857
1943,12,1857
4160,14,1857
4161,14,1857
4162,14,1857
4163,14,1857
4164,14,1857
4165,14,1857
4168,14,1857
2708,17,1857
2708,19,1857
